2024-06-13 13:27:25,521 ib_async.client INFO Connecting to 192.168.1.36:4001 with clientId 27...
2024-06-13 13:27:25,522 ib_async.client INFO Connected
2024-06-13 13:27:25,539 ib_async.client INFO Logged on to server version 176
2024-06-13 13:27:25,584 ib_async.wrapper INFO Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2024-06-13 13:27:25,585 ib_async.wrapper INFO Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2024-06-13 13:27:25,585 ib_async.wrapper INFO Warning 2107, reqId -1: HMDS data farm connection is inactive but should be available upon demand.ushmds
2024-06-13 13:27:25,585 ib_async.wrapper INFO Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefil
2024-06-13 13:27:25,585 ib_async.client INFO API connection ready
2024-06-13 13:27:25,587 ib_async.wrapper INFO position: Position(account='U2340948', contract=Stock(conId=4762, symbol='BA', exchange='NYSE', currency='USD', localSymbol='BA', tradingClass='BA'), position=254.0, avgCost=203.21112205)
2024-06-13 13:27:26,184 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a323e.01.01', time=datetime.datetime(2024, 6, 13, 12, 30, 1, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19667.5, permId=696617800, clientId=1, orderId=1121, liquidation=0, cumQty=1.0, avgPrice=19667.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,185 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a33f7.01.01', time=datetime.datetime(2024, 6, 13, 12, 32, 8, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19666.0, permId=696617812, clientId=1, orderId=1122, liquidation=0, cumQty=1.0, avgPrice=19666.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,185 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a33f9.01.01', time=datetime.datetime(2024, 6, 13, 12, 32, 9, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19668.5, permId=696617825, clientId=1, orderId=1123, liquidation=0, cumQty=1.0, avgPrice=19668.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,185 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a34bf.01.01', time=datetime.datetime(2024, 6, 13, 12, 34, 14, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19671.5, permId=696617838, clientId=1, orderId=1124, liquidation=0, cumQty=1.0, avgPrice=19671.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,185 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a34c8.01.01', time=datetime.datetime(2024, 6, 13, 12, 34, 25, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19674.0, permId=696617853, clientId=1, orderId=1125, liquidation=0, cumQty=1.0, avgPrice=19674.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,185 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a354a.01.01', time=datetime.datetime(2024, 6, 13, 12, 36, 29, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19664.0, permId=696617896, clientId=1, orderId=1126, liquidation=0, cumQty=1.0, avgPrice=19664.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,186 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a354c.01.01', time=datetime.datetime(2024, 6, 13, 12, 36, 30, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19667.0, permId=696617913, clientId=1, orderId=1127, liquidation=0, cumQty=1.0, avgPrice=19667.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2, pendingPriceRevision=False)
2024-06-13 13:27:26,186 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a3625.01.01', time=datetime.datetime(2024, 6, 13, 12, 39, 12, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19645.0, permId=696617930, clientId=1, orderId=1128, liquidation=0, cumQty=1.0, avgPrice=19645.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,186 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a36f3.01.01', time=datetime.datetime(2024, 6, 13, 12, 42, 7, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19647.5, permId=696617949, clientId=1, orderId=1129, liquidation=0, cumQty=1.0, avgPrice=19647.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,186 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a378b.01.01', time=datetime.datetime(2024, 6, 13, 12, 46, 16, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19635.5, permId=696617969, clientId=1, orderId=1130, liquidation=0, cumQty=1.0, avgPrice=19635.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
