2024-06-18 23:50:58,060 ib_async.client INFO Connecting to 192.168.1.36:4001 with clientId 35...
2024-06-18 23:50:58,566 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670d3cf.01.01', time=datetime.datetime(2024, 6, 18, 13, 34, 17, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20200.5, permId=142680145, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20200.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,574 ib_async.wrapper INFO execDetails Execution(execId='0001d587.66716ddb.01.01', time=datetime.datetime(2024, 6, 18, 13, 40, 48, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='MERCURY', side='SLD', shares=2.0, price=2.06, permId=142680440, clientId=0, orderId=0, liquidation=0, cumQty=2.0, avgPrice=2.06, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,583 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670dcef.01.01', time=datetime.datetime(2024, 6, 18, 13, 50, 12, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20178.75, permId=1279160622, clientId=85, orderId=1504, liquidation=0, cumQty=1.0, avgPrice=20178.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,585 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670de5b.01.01', time=datetime.datetime(2024, 6, 18, 13, 51, 55, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20176.25, permId=1279160636, clientId=85, orderId=1505, liquidation=0, cumQty=1.0, avgPrice=20176.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,588 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670df52.01.01', time=datetime.datetime(2024, 6, 18, 13, 52, 40, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20173.25, permId=1279160653, clientId=85, orderId=1507, liquidation=0, cumQty=1.0, avgPrice=20173.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,598 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670df6e.01.01', time=datetime.datetime(2024, 6, 18, 13, 52, 53, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20170.75, permId=1279160683, clientId=85, orderId=1508, liquidation=0, cumQty=1.0, avgPrice=20170.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,599 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670df8c.01.01', time=datetime.datetime(2024, 6, 18, 13, 53, 9, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20170.75, permId=1279160716, clientId=85, orderId=1510, liquidation=0, cumQty=1.0, avgPrice=20170.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,603 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670e3e8.01.01', time=datetime.datetime(2024, 6, 18, 14, 0, 14, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20168.25, permId=1279160732, clientId=85, orderId=1511, liquidation=0, cumQty=1.0, avgPrice=20168.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,606 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670e421.01.01', time=datetime.datetime(2024, 6, 18, 14, 0, 32, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20175.25, permId=1279160753, clientId=85, orderId=1513, liquidation=0, cumQty=1.0, avgPrice=20175.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,614 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670e46b.01.01', time=datetime.datetime(2024, 6, 18, 14, 1, 14, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20172.75, permId=1279160772, clientId=85, orderId=1514, liquidation=0, cumQty=1.0, avgPrice=20172.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,620 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670e534.01.01', time=datetime.datetime(2024, 6, 18, 14, 3, 10, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20181.0, permId=1279160795, clientId=85, orderId=1516, liquidation=0, cumQty=1.0, avgPrice=20181.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,621 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670e552.01.01', time=datetime.datetime(2024, 6, 18, 14, 3, 28, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20178.5, permId=1279160816, clientId=85, orderId=1517, liquidation=0, cumQty=1.0, avgPrice=20178.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
